circuit,image_rows,image_cols,barcode_rows,barcode_cols,max_rows,max_cols,max_ec_level,chunk_size,prover_time_1,prover_time_2,prover_time_3,prover_time_4,prover_time_5,prover_ram_1,prover_ram_2,prover_ram_3,prover_ram_4,prover_ram_5,verifier_time_1,verifier_time_2,verifier_time_3,verifier_time_4,verifier_time_5,verifier_ram_1,verifier_ram_2,verifier_ram_3,verifier_ram_4,verifier_ram_5
binarize,480,640,462,580,90,30,0,10,5235.63,5176.6,5243.97,5145.81,5238.72,4393036,4408532,4386980,4393892,4409984,490.2,451.24,453.11,440.49,488.25,441804,442304,442316,442424,443288
binarize,480,640,462,580,90,30,1,10,5256.51,5950.33,5096.63,5160.16,5207.48,4350220,4336744,4393740,4379632,4387696,436.78,482.77,440.17,434.26,498.09,441588,443332,442772,442908,442256
binarize,480,640,462,580,90,30,5,10,5218.33,6011.25,5188.35,5090.3,5204.88,4276084,4232924,4281760,4347300,4358468,437.8,451.01,445.88,437.84,467.39,442844,441840,443852,443396,442816
binarize,480,640,462,580,90,30,8,10,5205.72,5178.3,5314.43,5247.75,5347.38,4409700,4403528,4410632,4340228,4407524,449.37,442.12,479.81,442.28,488.25,442332,442840,442228,443828,442388
binarize,720,1080,720,1030,3,2,0,10,13833.27,13901.18,13790.98,13659.01,15112.35,11436028,11474844,11438660,11424180,11364044,1378.47,1392.0,1556.28,1551.84,1558.02,1485256,1484160,1483692,1485228,1483716
binarize,720,1080,720,1030,3,2,1,10,13704.39,14038.28,13967.09,14155.34,14020.67,11432228,11429888,11441816,11427956,11409728,1380.28,1409.01,1368.85,1358.33,1379.78,1484184,1483776,1483752,1484232,1485200
binarize,720,1080,720,1026,10,6,0,9,14241.17,13846.33,14184.05,13804.67,13667.18,11486856,11546284,11483472,11516196,11498364,1378.89,1374.18,1389.16,1384.31,1389.31,1484100,1481032,1483136,1483552,1483264
binarize,720,1080,720,1026,10,6,1,9,13790.08,13764.87,13828.83,13684.55,13572.57,11479452,11526072,11482816,11535316,11412516,1352.94,1559.84,1363.78,1556.2,1373.43,1483652,1482280,1482592,1482632,1483160
binarize,720,1080,693,870,21,13,0,10,10221.24,10219.79,10307.91,10822.87,9849.36,7893108,7684540,7894372,7613492,7894364,890.89,898.48,893.7,898.57,917.17,894720,894060,894156,895096,894652
binarize,720,1080,693,870,21,13,1,10,10089.5,10150.28,9922.22,9838.14,10108.29,7893868,7894612,7685376,7896372,7695412,922.92,911.78,900.39,897.89,900.82,894664,895124,895656,895580,895716
binarize,720,1080,693,870,21,13,5,10,10109.09,10049.9,10002.04,9867.68,9821.44,7893932,7895768,7890608,7721884,7893576,1054.06,888.62,1037.64,915.47,895.96,894544,894636,894940,895632,895548
binarize,720,1080,693,870,60,20,0,10,10682.32,11153.45,10810.43,10620.2,12200.03,9082496,9075756,9066440,9044744,8906364,904.25,1043.22,903.38,941.63,1075.23,895736,895116,895628,894620,895132
binarize,720,1080,693,870,60,20,1,10,12188.2,12177.37,10615.21,11086.04,11142.68,8888836,8877564,9071036,8964732,9056984,920.15,915.1,908.02,893.09,1066.59,894648,894092,895044,894544,895036
binarize,720,1080,693,870,60,20,5,10,10866.99,11016.18,10673.21,10736.16,10639.82,9030352,9037244,9068464,9037000,9047860,945.65,1044.41,1073.27,921.76,907.15,893608,895220,895576,894092,895184
binarize,720,1080,693,870,60,20,8,10,11157.75,10648.7,11170.01,10734.18,10912.56,9066940,9069096,9040016,9074308,9070144,912.98,901.22,899.94,916.22,903.29,895044,895572,894544,895004,895104
binarize,720,1080,693,870,90,30,0,10,10907.58,11098.82,13395.58,11174.32,11198.61,9127552,9070788,8950812,9109876,9095656,1061.81,911.45,919.33,1038.68,906.4,895132,894576,894624,895544,895600
